id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,last_updated
bitcoin,btc,Bitcoin,79226.0,1587474605046,1,42025576031,-1.39256,2026-05-13T15:41:07.264Z
ethereum,eth,Ethereum,2252.27,272065942847,2,13497559279,-0.48866,2026-05-13T15:41:07.168Z
tether,usdt,Tether,0.99957,189739410138,3,67424960362,-0.00631,2026-05-13T15:41:07.185Z
binancecoin,bnb,BNB,667.01,90009384979,4,1388747339,2.2706,2026-05-13T15:41:06.741Z
ripple,xrp,XRP,1.42,87790144687,5,2229309725,-0.15545,2026-05-13T15:41:06.932Z
usd-coin,usdc,USDC,1.001,77007622771,6,16602782358,0.07949,2026-05-13T15:41:06.935Z
solana,sol,Solana,90.77,52547485593,7,3388776998,-3.46298,2026-05-13T15:41:07.318Z
tron,trx,TRON,0.350038,33190506924,8,461625766,0.60808,2026-05-13T15:41:01.480Z
figure-heloc,figr_heloc,Figure Heloc,1.037,18364868353,9,86563057,0.70839,2026-05-13T15:41:05.431Z
dogecoin,doge,Dogecoin,0.11062,17059895899,10,1614504671,1.82419,2026-05-13T15:41:04.378Z
