id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,last_updated
bitcoin,btc,Bitcoin,77576.0,1554067637644,1,23254628500,1.596,2026-05-25T15:46:55.942Z
ethereum,eth,Ethereum,2123.49,256273575250,2,9612869223,1.44819,2026-05-25T15:46:53.220Z
tether,usdt,Tether,0.999062,189451552748,3,41148399367,0.02936,2026-05-25T15:46:52.025Z
binancecoin,bnb,BNB,667.21,89959348261,4,706769346,1.88444,2026-05-25T15:46:55.851Z
ripple,xrp,XRP,1.36,84052667345,5,1333328479,0.8037,2026-05-25T15:46:51.562Z
usd-coin,usdc,USDC,0.999703,76407426485,6,10049199318,-0.00593,2026-05-25T15:46:51.798Z
solana,sol,Solana,86.21,49849370414,7,2327299443,1.19486,2026-05-25T15:46:51.741Z
tron,trx,TRON,0.372945,35356530772,8,587844361,2.0502,2026-05-25T15:46:44.620Z
figure-heloc,figr_heloc,Figure Heloc,1.03,18619225593,9,106080,,2026-05-24T03:06:45.343Z
dogecoin,doge,Dogecoin,0.102981,15895210782,10,497972695,1.09307,2026-05-25T15:46:47.182Z
